Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://datasheets.kyocera-avx.com/X7RDielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-0603ZC100KAT2ATR-ND,478-0603ZC100KAT2ACT-ND,478-0603ZC100KAT2ADKR-ND","0603ZC100KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 10PF 10V X7R 0603","23,743","0.13","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","10 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2521/Accu-P%200201.jpg","0201ZA150JAT2A-ND","0201ZA150JAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 15PF 10V NP0 0201","15,000","0.07983","0","15000","Tape & Reel (TR)","-","Active","15 pF","±5%","10V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-11845-2-ND,478-11845-1-ND,478-11845-6-ND","0603ZA220JAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 22PF 10V NP0 0603","8,849","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","22 pF","±5%","10V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/X7RDielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-11790-2-ND,478-11790-1-ND,478-11790-6-ND","0402ZC330KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 33PF 10V X7R 0402","56,763","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","33 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.56mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2521/Accu-P%200201.jpg","478-1025-2-ND,478-1025-1-ND,478-1025-6-ND","0201ZA820JAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 82PF 10V C0G/NP0 0201","2,679","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","82 pF","±5%","10V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KGM15AR71A101KTTR-ND,478-KGM15AR71A101KTCT-ND,478-KGM15AR71A101KTDKR-ND","KGM15AR71A101KT","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 10V X7R 0603","21,888","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","100 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2521/Accu-P%200201.jpg","478-1026-2-ND,478-1026-1-ND,478-1026-6-ND","0201ZA101JAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 10V C0G/NP0 0201","304,512","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","100 pF","±5%","10V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR71A101KHTR-ND,478-KGM05AR71A101KHCT-ND,478-KGM05AR71A101KHDKR-ND","KGM05AR71A101KH","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 10V X7R 0402","60,392","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","100 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-11844-2-ND,478-11844-1-ND,478-11844-6-ND","0603ZA101FAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 10V NP0 0603","18,596","0.13","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","100 pF","±1%","10V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR71A101MHTR-ND,478-KGM05AR71A101MHCT-ND,478-KGM05AR71A101MHDKR-ND","KGM05AR71A101MH","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 10V X7R 0402","17,069","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","100 pF","±20%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","2266-0603ZA101JAT2ATR-ND,478-0603ZA101JAT2ATR-ND","0603ZA101JAT2A","KYOCERA AVX","WEC,KYOCERA AVX","CAP CER SMD","0","0.049","0","2000","Tape & Reel (TR),Tape & Reel (TR)","-","Active","100 pF","±5%","10V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR71A151KHTR-ND,478-KGM05AR71A151KHCT-ND,478-KGM05AR71A151KHDKR-ND","KGM05AR71A151KH","KYOCERA AVX","KYOCERA AVX","CAP CER 150PF 10V X7R 0402","9,985","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","150 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KGM15AR71A221KTTR-ND,478-KGM15AR71A221KTCT-ND,478-KGM15AR71A221KTDKR-ND","KGM15AR71A221KT","KYOCERA AVX","KYOCERA AVX","CAP CER 220PF 10V X7R 0603","15,126","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","220 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR71A221KHTR-ND,478-KGM05AR71A221KHCT-ND,478-KGM05AR71A221KHDKR-ND","KGM05AR71A221KH","KYOCERA AVX","KYOCERA AVX","CAP CER 220PF 10V X7R 0402","10,000","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","220 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR71A221JHTR-ND,478-KGM05AR71A221JHCT-ND,478-KGM05AR71A221JHDKR-ND","KGM05AR71A221JH","KYOCERA AVX","KYOCERA AVX","CAP CER 220PF 10V X7R 0402","10,000","0.33","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","220 pF","±5%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KGM15AR71A331KTTR-ND,478-KGM15AR71A331KTCT-ND,478-KGM15AR71A331KTDKR-ND","KGM15AR71A331KT","KYOCERA AVX","KYOCERA AVX","CAP CER 330PF 10V X7R 0603","11,720","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","330 pF","±10%","10V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
