Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C55mm.jpg","478-12646-2-ND,478-12646-1-ND,478-12646-6-ND","04026A100KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 10PF 6.3V NP0 0402","52,588","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","10 pF","±10%","6.3V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2659/MFG_MLCC-X5R.jpg","478-06036A100FAT2ATR-ND,478-06036A100FAT2ACT-ND,478-06036A100FAT2ADKR-ND","06036A100FAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 10PF 6.3V C0G/NP0 0603","16,863","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","10 pF","±1%","6.3V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"http://datasheets.kyocera-avx.com/cx5r.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-04026D100JAT2ATR-ND,478-04026D100JAT2ACT-ND,478-04026D100JAT2ADKR-ND","04026D100JAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 10PF 6.3V X5R 0402","32,756","0.19","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","10 pF","±5%","6.3V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.56mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-04026A120KAT2ATR-ND,478-04026A120KAT2ACT-ND,478-04026A120KAT2ADKR-ND","04026A120KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 12PF 6.3V NP0 0402","14,789","0.28","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","12 pF","±10%","6.3V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.56mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-11838-2-ND,478-11838-1-ND,478-11838-6-ND","06036A180JAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 18PF 6.3V NP0 0603","1,587","0.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","18 pF","±5%","6.3V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://www.bourns.com/docs/product-datasheets/gdt35.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-11839-2-ND,478-11839-1-ND,478-11839-6-ND","06036A220J4T2A","KYOCERA AVX","KYOCERA AVX","CAP CER 22PF 6.3V NP0 0603","10,174","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","22 pF","±5%","6.3V","C0G, NP0","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/C0GNP0-Dielectric.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-11384-2-ND,478-11384-1-ND,478-11384-6-ND","06036A220KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 22PF 6.3V NP0 0603","4,071","0.19","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","22 pF","±10%","6.3V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/478_0402-%281005-Metric%29-0%2C56mm.jpg","478-KGM05AR70J101KHTR-ND,478-KGM05AR70J101KHCT-ND,478-KGM05AR70J101KHDKR-ND","KGM05AR70J101KH","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 6.3V X7R 0402","22,109","0.22","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","100 pF","±10%","6.3V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://datasheets.kyocera-avx.com/cx5r.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4844/478_01005-%280402-Metric%29-0%2C22mm.jpg","478-6436-2-ND,478-6436-1-ND,478-6436-6-ND","01016D101KAT2A","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 6.3V X5R 01005","28,487","0.23","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","100 pF","±10%","6.3V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","01005 (0402 Metric)","0.016"" L x 0.008"" W (0.40mm x 0.20mm)","-","0.009"" (0.22mm)","-","-"
"https://datasheets.kyocera-avx.com/KGM_X7R.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4845/478_0603-%281608-Metric%29-0%2C90mm.jpg","478-KGM15AR70J101JTTR-ND,478-KGM15AR70J101JTCT-ND,478-KGM15AR70J101JTDKR-ND","KGM15AR70J101JT","KYOCERA AVX","KYOCERA AVX","CAP CER 100PF 6.3V X7R 0603","7,738","0.19","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","KGM - X7R","Active","100 pF","±5%","6.3V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.032"" W (1.60mm x 0.81mm)","-","0.035"" (0.90mm)","-","-"
